,Builder Name,City,Locality,Property Type,Price in Crores,Area in Sqft,Construction Status,Age of property
5101,FuturelandAGENT0,Hyderabad,Sadashivpet,"Residential PlotSadashivpet, Hyderabad",0.19649999999999998,1351,New,4 - 5 years old
5102,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.2948,1500,New,1 open sides
5103,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.2954,1502,New,3 - 4 years old
5104,FuturelandAGENT0,Hyderabad,Sadashivpet,"Residential PlotSadashivpet, Hyderabad",0.2227,1470,New,4 - 5 years old
5105,FuturelandAGENT0,Hyderabad,Sadashivpet,"Residential PlotSadashivpet, Hyderabad",0.1845,1351,New,4 - 5 years old
5106,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.2522,1300,New,3 - 4 years old
5107,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.2522,1350,New,2 open sides
5108,FuturelandAGENT0,Hyderabad,Ramoji Film city,"Residential PlotRamoji Film city, Hyderabad",0.18,1350,New,1 open sides
5109,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.2565,1500,New,1 open sides
5110,FuturelandAGENT0,Hyderabad,Desh Mukhi,"Residential PlotDesh Mukhi, Hyderabad",0.22649999999999998,1800,New,3 - 4 years old
5111,FuturelandAGENT0,Hyderabad,Taramatipet,"Residential PlotTaramatipet, Hyderabad",0.2566,1550,New,1 open sides
5112,FuturelandAGENT0,Hyderabad,Taramatipet,"Residential PlotTaramatipet, Hyderabad",0.55,5460,New,1 open sides
5113,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.1155,1050,New,3 - 4 years old
5114,FuturelandAGENT0,Hyderabad,Taramatipet,"Residential PlotTaramatipet, Hyderabad",0.11789999999999999,1050,New,1 open sides
